Character(character=',', codepoint='U+002c', name='COMMA')
Character(character='3', codepoint='U+0033', name='DIGIT THREE')
Character(character='4', codepoint='U+0034', name='DIGIT FOUR')
Character(character='9', codepoint='U+0039', name='DIGIT NINE')
Character(character='u', codepoint='U+0075', name='LATIN SMALL LETTER U')
Character(character='¡', codepoint='U+00a1', name='INVERTED EXCLAMATION MARK')
Character(character='§', codepoint='U+00a7', name='SECTION SIGN')
Character(character='Á', codepoint='U+00c1', name='LATIN CAPITAL LETTER A WITH ACUTE')
Character(character='Â', codepoint='U+00c2', name='LATIN CAPITAL LETTER A WITH CIRCUMFLEX')
Character(character='Ã', codepoint='U+00c3', name='LATIN CAPITAL LETTER A WITH TILDE')
Character(character='Ä', codepoint='U+00c4', name='LATIN CAPITAL LETTER A WITH DIAERESIS')
Character(character='Å', codepoint='U+00c5', name='LATIN CAPITAL LETTER A WITH RING ABOVE')
Character(character='Æ', codepoint='U+00c6', name='LATIN CAPITAL LETTER AE')
Character(character='Ç', codepoint='U+00c7', name='LATIN CAPITAL LETTER C WITH CEDILLA')
Character(character='É', codepoint='U+00c9', name='LATIN CAPITAL LETTER E WITH ACUTE')
Character(character='Ê', codepoint='U+00ca', name='LATIN CAPITAL LETTER E WITH CIRCUMFLEX')
Character(character='Ë', codepoint='U+00cb', name='LATIN CAPITAL LETTER E WITH DIAERESIS')
Character(character='Í', codepoint='U+00cd', name='LATIN CAPITAL LETTER I WITH ACUTE')
Character(character='Î', codepoint='U+00ce', name='LATIN CAPITAL LETTER I WITH CIRCUMFLEX')
Character(character='Ï', codepoint='U+00cf', name='LATIN CAPITAL LETTER I WITH DIAERESIS')
Character(character='Ð', codepoint='U+00d0', name='LATIN CAPITAL LETTER ETH')
Character(character='Ñ', codepoint='U+00d1', name='LATIN CAPITAL LETTER N WITH TILDE')
Character(character='Ó', codepoint='U+00d3', name='LATIN CAPITAL LETTER O WITH ACUTE')
Character(character='Ô', codepoint='U+00d4', name='LATIN CAPITAL LETTER O WITH CIRCUMFLEX')
Character(character='Õ', codepoint='U+00d5', name='LATIN CAPITAL LETTER O WITH TILDE')
Character(character='Ö', codepoint='U+00d6', name='LATIN CAPITAL LETTER O WITH DIAERESIS')
Character(character='Ø', codepoint='U+00d8', name='LATIN CAPITAL LETTER O WITH STROKE')
Character(character='Ú', codepoint='U+00da', name='LATIN CAPITAL LETTER U WITH ACUTE')
Character(character='Û', codepoint='U+00db', name='LATIN CAPITAL LETTER U WITH CIRCUMFLEX')
Character(character='Ü', codepoint='U+00dc', name='LATIN CAPITAL LETTER U WITH DIAERESIS')
Character(character='Ý', codepoint='U+00dd', name='LATIN CAPITAL LETTER Y WITH ACUTE')
Character(character='Þ', codepoint='U+00de', name='LATIN CAPITAL LETTER THORN')
Character(character='ß', codepoint='U+00df', name='LATIN SMALL LETTER SHARP S')
Character(character='á', codepoint='U+00e1', name='LATIN SMALL LETTER A WITH ACUTE')
Character(character='â', codepoint='U+00e2', name='LATIN SMALL LETTER A WITH CIRCUMFLEX')
Character(character='ã', codepoint='U+00e3', name='LATIN SMALL LETTER A WITH TILDE')
Character(character='ä', codepoint='U+00e4', name='LATIN SMALL LETTER A WITH DIAERESIS')
Character(character='å', codepoint='U+00e5', name='LATIN SMALL LETTER A WITH RING ABOVE')
Character(character='æ', codepoint='U+00e6', name='LATIN SMALL LETTER AE')
Character(character='ç', codepoint='U+00e7', name='LATIN SMALL LETTER C WITH CEDILLA')
Character(character='é', codepoint='U+00e9', name='LATIN SMALL LETTER E WITH ACUTE')
Character(character='ê', codepoint='U+00ea', name='LATIN SMALL LETTER E WITH CIRCUMFLEX')
Character(character='ë', codepoint='U+00eb', name='LATIN SMALL LETTER E WITH DIAERESIS')
Character(character='í', codepoint='U+00ed', name='LATIN SMALL LETTER I WITH ACUTE')
Character(character='î', codepoint='U+00ee', name='LATIN SMALL LETTER I WITH CIRCUMFLEX')
Character(character='ï', codepoint='U+00ef', name='LATIN SMALL LETTER I WITH DIAERESIS')
Character(character='ð', codepoint='U+00f0', name='LATIN SMALL LETTER ETH')
Character(character='ñ', codepoint='U+00f1', name='LATIN SMALL LETTER N WITH TILDE')
Character(character='ó', codepoint='U+00f3', name='LATIN SMALL LETTER O WITH ACUTE')
Character(character='ô', codepoint='U+00f4', name='LATIN SMALL LETTER O WITH CIRCUMFLEX')
Character(character='õ', codepoint='U+00f5', name='LATIN SMALL LETTER O WITH TILDE')
Character(character='ö', codepoint='U+00f6', name='LATIN SMALL LETTER O WITH DIAERESIS')
Character(character='ø', codepoint='U+00f8', name='LATIN SMALL LETTER O WITH STROKE')
Character(character='ú', codepoint='U+00fa', name='LATIN SMALL LETTER U WITH ACUTE')
Character(character='û', codepoint='U+00fb', name='LATIN SMALL LETTER U WITH CIRCUMFLEX')
Character(character='ü', codepoint='U+00fc', name='LATIN SMALL LETTER U WITH DIAERESIS')
Character(character='ý', codepoint='U+00fd', name='LATIN SMALL LETTER Y WITH ACUTE')
Character(character='þ', codepoint='U+00fe', name='LATIN SMALL LETTER THORN')
Character(character='ÿ', codepoint='U+00ff', name='LATIN SMALL LETTER Y WITH DIAERESIS')
Character(character='Ā', codepoint='U+0100', name='LATIN CAPITAL LETTER A WITH MACRON')
Character(character='ā', codepoint='U+0101', name='LATIN SMALL LETTER A WITH MACRON')
Character(character='Ą', codepoint='U+0104', name='LATIN CAPITAL LETTER A WITH OGONEK')
Character(character='ą', codepoint='U+0105', name='LATIN SMALL LETTER A WITH OGONEK')
Character(character='Ć', codepoint='U+0106', name='LATIN CAPITAL LETTER C WITH ACUTE')
Character(character='ć', codepoint='U+0107', name='LATIN SMALL LETTER C WITH ACUTE')
Character(character='Ċ', codepoint='U+010a', name='LATIN CAPITAL LETTER C WITH DOT ABOVE')
Character(character='ċ', codepoint='U+010b', name='LATIN SMALL LETTER C WITH DOT ABOVE')
Character(character='Č', codepoint='U+010c', name='LATIN CAPITAL LETTER C WITH CARON')
Character(character='č', codepoint='U+010d', name='LATIN SMALL LETTER C WITH CARON')
Character(character='Ē', codepoint='U+0112', name='LATIN CAPITAL LETTER E WITH MACRON')
Character(character='ē', codepoint='U+0113', name='LATIN SMALL LETTER E WITH MACRON')
Character(character='Ę', codepoint='U+0118', name='LATIN CAPITAL LETTER E WITH OGONEK')
Character(character='ę', codepoint='U+0119', name='LATIN SMALL LETTER E WITH OGONEK')
Character(character='Ě', codepoint='U+011a', name='LATIN CAPITAL LETTER E WITH CARON')
Character(character='ě', codepoint='U+011b', name='LATIN SMALL LETTER E WITH CARON')
Character(character='Ġ', codepoint='U+0120', name='LATIN CAPITAL LETTER G WITH DOT ABOVE')
Character(character='ġ', codepoint='U+0121', name='LATIN SMALL LETTER G WITH DOT ABOVE')
Character(character='Ħ', codepoint='U+0126', name='LATIN CAPITAL LETTER H WITH STROKE')
Character(character='ħ', codepoint='U+0127', name='LATIN SMALL LETTER H WITH STROKE')
Character(character='Ĩ', codepoint='U+0128', name='LATIN CAPITAL LETTER I WITH TILDE')
Character(character='ĩ', codepoint='U+0129', name='LATIN SMALL LETTER I WITH TILDE')
Character(character='Ī', codepoint='U+012a', name='LATIN CAPITAL LETTER I WITH MACRON')
Character(character='ī', codepoint='U+012b', name='LATIN SMALL LETTER I WITH MACRON')
Character(character='İ', codepoint='U+0130', name='LATIN CAPITAL LETTER I WITH DOT ABOVE')
Character(character='ı', codepoint='U+0131', name='LATIN SMALL LETTER DOTLESS I')
Character(character='Ł', codepoint='U+0141', name='LATIN CAPITAL LETTER L WITH STROKE')
Character(character='ł', codepoint='U+0142', name='LATIN SMALL LETTER L WITH STROKE')
Character(character='Ō', codepoint='U+014c', name='LATIN CAPITAL LETTER O WITH MACRON')
Character(character='ō', codepoint='U+014d', name='LATIN SMALL LETTER O WITH MACRON')
Character(character='Œ', codepoint='U+0152', name='LATIN CAPITAL LIGATURE OE')
Character(character='œ', codepoint='U+0153', name='LATIN SMALL LIGATURE OE')
Character(character='Ř', codepoint='U+0158', name='LATIN CAPITAL LETTER R WITH CARON')
Character(character='ř', codepoint='U+0159', name='LATIN SMALL LETTER R WITH CARON')
Character(character='Ş', codepoint='U+015e', name='LATIN CAPITAL LETTER S WITH CEDILLA')
Character(character='ş', codepoint='U+015f', name='LATIN SMALL LETTER S WITH CEDILLA')
Character(character='Š', codepoint='U+0160', name='LATIN CAPITAL LETTER S WITH CARON')
Character(character='š', codepoint='U+0161', name='LATIN SMALL LETTER S WITH CARON')
Character(character='Ũ', codepoint='U+0168', name='LATIN CAPITAL LETTER U WITH TILDE')
Character(character='ũ', codepoint='U+0169', name='LATIN SMALL LETTER U WITH TILDE')
Character(character='Ū', codepoint='U+016a', name='LATIN CAPITAL LETTER U WITH MACRON')
Character(character='ū', codepoint='U+016b', name='LATIN SMALL LETTER U WITH MACRON')
Character(character='Ų', codepoint='U+0172', name='LATIN CAPITAL LETTER U WITH OGONEK')
Character(character='ų', codepoint='U+0173', name='LATIN SMALL LETTER U WITH OGONEK')
